Year,Zip Code,Age-Adjusted Rate,95% LCL,95% UCL
2022,94501,1.46,0.037,12.859
2022,94502,0,0,37.855
2022,94514,0,0,0
2022,94536,0,0,8.369
2022,94538,0,0,8.068
2022,94539,1.347,0.034,12.183
2022,94541,2.9,0.303,12.28
2022,94542,0,0,44.589
2022,94544,1.273,0.032,8.684
2022,94545,0,0,17.597
2022,94546,0,0,13.097
2022,94550,0,0,11.253
2022,94551,0,0,14.177
2022,94552,0,0,54.776
2022,94555,1.859,0.047,20.535
2022,94560,0,0,10.767
2022,94566,0,0,17.522
2022,94568,1.82,0.046,14.822
2022,94577,2.372,0.06,15.787
2022,94578,0,0,11.912
2022,94579,0,0,37.922
2022,94580,0,0,18.504
2022,94586,0,0,0
2022,94587,0,0,7.504
2022,94588,0,0,16.507
2022,94601,0,0,9.43
2022,94602,0,0,22.606
2022,94603,3.65,0.092,24.321
2022,94605,0,0,13.259
2022,94606,3.712,0.094,25.754
2022,94607,0,0,33.894
2022,94608,3.59,0.091,52.786
2022,94609,6.24,0.158,47.71
2022,94610,0,0,36.614
2022,94611,0,0,23.432
2022,94612,0,0,88.163
2022,94613,0,0,0
2022,94618,0,0,47.56
2022,94619,0,0,24.961
2022,94621,0,0,21.469
2022,94702,0,0,35.172
2022,94703,0,0,36.739
2022,94704,0,0,88.892
2022,94705,6.213,0.157,65.948
2022,94706,0,0,31.262
2022,94707,0,0,0
2022,94708,0,0,0
2022,94709,0,0,0
2022,94710,19.74,0.5,280.521
2022,94720,0,0,0
2022,95391,0,0,107.775
2021,94501,0,0,10.849
2021,94502,0,0,0
2021,94514,0,0,585.777
2021,94536,1.244,0.032,10.176
2021,94538,1.476,0.037,10.29
2021,94539,0,0,10.558
2021,94541,1.751,0.044,10.61
2021,94542,0,0,0
2021,94544,1.011,0.026,8.205
2021,94545,0,0,17.498
2021,94546,1.149,0.029,14.251
2021,94550,0,0,11.374
2021,94551,5.725,1.15,22.236
2021,94552,0,0,55.363
2021,94555,0,0,18.614
2021,94560,0,0,10.706
2021,94566,5.176,0.564,25.033
2021,94568,0,0,12.747
2021,94577,1.844,0.047,14.4
2021,94578,2.573,0.065,16.345
2021,94579,3.349,0.085,40.905
2021,94580,3.325,0.084,23.334
2021,94586,0,0,0
2021,94587,0,0,7.38
2021,94588,0,0,16.684
2021,94601,2.772,0.336,13.869
2021,94602,3.629,0.092,28.059
2021,94603,2.834,0.072,23.216
2021,94605,2.187,0.055,16.396
2021,94606,0,0,19.799
2021,94607,4.899,0.124,40.422
2021,94608,0,0,48.842
2021,94609,10.362,1.25,52.196
2021,94610,0,0,36.298
2021,94611,0,0,23.684
2021,94612,0,0,87.401
2021,94613,0,0,0
2021,94618,0,0,0
2021,94619,0,0,25.229
2021,94621,2.026,0.051,24.441
2021,94702,0,0,34.59
2021,94703,0,0,38.062
2021,94704,0,0,87.422
2021,94705,0,0,57.724
2021,94706,4.601,0.116,37.913
2021,94707,5.63,0.143,95.443
2021,94708,0,0,67.124
2021,94709,0,0,133.034
2021,94710,0,0,270.243
2021,94720,0,0,0
2021,95391,0,0,116.348
2020,94501,0,0,10.749
2020,94502,0,0,0
2020,94514,0,0,0
2020,94536,0,0,9.003
2020,94538,0,0,8.527
2020,94539,1.691,0.043,14.985
2020,94541,2.036,0.247,10.732
2020,94542,0,0,41.804
2020,94544,0.886,0.022,8.022
2020,94545,0,0,17.968
2020,94546,0,0,15.495
2020,94550,3.927,0.471,18.887
2020,94551,3.643,0.092,22.571
2020,94552,0,0,58.465
2020,94555,0,0,17.472
2020,94560,1.948,0.049,13.511
