Year,Zip Code,Age-Adjusted Rate,95% LCL,95% UCL
2022,94501,0.736,0.019,11.641
2022,94502,0,0,37.855
2022,94514,0,0,0
2022,94536,0.96,0.024,9.535
2022,94538,0,0,8.068
2022,94539,0,0,10.446
2022,94541,0,0,7.625
2022,94542,10.205,0.258,62.27
2022,94544,2.365,0.279,10.234
2022,94545,0,0,17.597
2022,94546,4.349,0.492,19.536
2022,94550,2.272,0.058,14.947
2022,94551,1.702,0.043,16.292
2022,94552,0,0,54.776
2022,94555,1.859,0.047,20.535
2022,94560,0,0,10.767
2022,94566,0,0,17.522
2022,94568,0,0,12.304
2022,94577,4.278,0.518,18.381
2022,94578,6.049,1.189,20.815
2022,94579,0,0,37.922
2022,94580,0,0,18.504
2022,94586,0,0,0
2022,94587,0,0,7.504
2022,94588,3.011,0.076,21.152
2022,94601,6.48,1.334,19.851
2022,94602,13.095,3.52,40.478
2022,94603,20.679,8.216,46.987
2022,94605,6.542,1.201,23.02
2022,94606,13.005,4.044,37.29
2022,94607,13.83,2.829,52.345
2022,94608,13.796,4.173,63.027
2022,94609,9.513,0.972,51.337
2022,94610,2.934,0.074,39.615
2022,94611,6.062,1.185,30.257
2022,94612,53.753,11.401,170.274
2022,94613,0,0,0
2022,94618,16.748,3.28,68.952
2022,94619,2.185,0.055,27.289
2022,94621,22.489,8.314,53.137
2022,94702,6.373,0.161,44.972
2022,94703,13.597,1.647,57.421
2022,94704,0,0,88.892
2022,94705,3.515,0.089,61.866
2022,94706,0,0,31.262
2022,94707,0,0,0
2022,94708,0,0,0
2022,94709,0,0,0
2022,94710,8.574,0.217,267.138
2022,94720,0,0,0
2022,95391,0,0,107.775
2021,94501,0.97,0.025,11.893
2021,94502,0,0,0
2021,94514,0,0,585.777
2021,94536,3.948,0.797,14.034
2021,94538,0.978,0.025,9.226
2021,94539,2.465,0.062,14.873
2021,94541,1.009,0.026,8.884
2021,94542,0,0,0
2021,94544,2.837,0.342,11.344
2021,94545,0,0,17.498
2021,94546,3.002,0.333,16.818
2021,94550,0,0,11.374
2021,94551,1.7,0.043,16.763
2021,94552,7.4,0.741,62.88
2021,94555,0,0,18.614
2021,94560,0,0,10.706
2021,94566,0,0,17.71
2021,94568,2.897,0.351,16.302
2021,94577,2.124,0.054,15.028
2021,94578,3.048,0.077,17.591
2021,94579,0,0,37.295
2021,94580,4.111,0.104,25.275
2021,94586,0,0,0
2021,94587,0,0,7.38
2021,94588,0,0,16.684
2021,94601,14.084,5.943,29.948
2021,94602,3.629,0.092,28.059
2021,94603,7.871,1.596,29.84
2021,94605,6.998,1.808,22.601
2021,94606,0,0,19.799
2021,94607,15.255,4.589,51.884
2021,94608,10.404,1.26,61.244
2021,94609,10.558,1.224,52.731
2021,94610,2.872,0.073,39.217
2021,94611,2.24,0.057,26.159
2021,94612,45.678,7.314,160.393
2021,94613,0,0,0
2021,94618,0,0,0
2021,94619,0,0,25.229
2021,94621,19.195,6.486,49.046
2021,94702,0,0,34.59
2021,94703,0,0,38.062
2021,94704,25.617,1.346,130.792
2021,94705,0,0,57.724
2021,94706,4.601,0.116,37.913
2021,94707,0,0,90.279
2021,94708,0,0,67.124
2021,94709,0,0,133.034
2021,94710,0,0,270.243
2021,94720,0,0,0
2021,95391,0,0,116.348
2020,94501,4.677,0.959,17.14
2020,94502,0,0,0
2020,94514,0,0,0
2020,94536,0,0,9.003
2020,94538,0,0,8.527
2020,94539,0,0,12.774
2020,94541,0,0,8.12
2020,94542,0,0,41.804
2020,94544,2.129,0.247,9.915
2020,94545,3.377,0.086,23.26
2020,94546,3.408,0.413,19.616
2020,94550,0,0,13.49
2020,94551,0,0,16.341
2020,94552,0,0,58.465
2020,94555,2.086,0.053,20.06
2020,94560,0,0,10.476
2020,94566,4.918,0.125,27.401
2020,94568,0,0,13.267
2020,94577,0,0,10.735
2020,94578,0,0,13.369
2020,94579,0,0,29.144
2020,94580,0,0,17.765
2020,94586,0,0,0
2020,94587,0.917,0.023,8.488
2020,94588,0,0,19.877
2020,94601,5.6,1.131,21.259
2020,94602,0,0,26.668
2020,94603,0,0,19.361
2020,94605,2.26,0.057,16.024
2020,94606,7.252,1.466,28.735
2020,94607,13.594,3.326,46.574
2020,94608,9.773,1.129,50.717
2020,94609,0,0,44.067
2020,94610,3.969,0.1,42.561
2020,94611,0,0,26.497
2020,94612,8.347,0.211,121.526
2020,94613,0,0,0
2020,94618,0,0,0
2020,94619,8.749,1.028,40.802
2020,94621,16.483,5.026,46.378
2020,94702,0,0,42.362
2020,94703,8.069,0.855,48.129
2020,94704,0,0,232.436
2020,94705,0,0,58.491
2020,94706,0,0,31.634
2020,94707,0,0,69.428
2020,94708,0,0,0
2020,94709,0,0,186.857
2020,94710,7.175,0.182,188.681
2020,94720,0,0,0
2020,95391,5.055,0.128,134.476
2019,94501,2.783,0.329,14.25
2019,94502,0,0,47.95
2019,94514,0,0,0
2019,94536,0,0,7.656
2019,94538,1.45,0.037,10.536
2019,94539,0,0,12.621
2019,94541,1.195,0.03,9.808
2019,94542,9.355,0.237,71.441
2019,94544,3.921,0.808,12.454
2019,94545,0,0,16.681
2019,94546,0,0,12.406
2019,94550,4.612,0.553,18.295
2019,94551,0,0,17.408
2019,94552,0,0,44.117
2019,94555,1.974,0.05,22.587
2019,94560,0,0,10.862
2019,94566,0,0,18.299
2019,94568,0,0,13.59
2019,94577,3.417,0.414,15.445
2019,94578,0,0,14.959
2019,94579,0,0,27.033
2019,94580,0,0,19.408
2019,94586,0,0,0
2019,94587,0,0,7.322
2019,94588,0,0,19.187
2019,94601,5.67,1.109,21.984
2019,94602,0,0,17.415
2019,94603,6.477,0.698,32.4
2019,94605,5.243,1.012,19.275
2019,94606,2.644,0.067,19.716
2019,94607,11.476,2.333,43.189
2019,94608,6.798,1.307,42.904
2019,94609,5.547,0.516,48.971
2019,94610,5.512,1.12,38.918
2019,94611,1.5,0.038,24.535
2019,94612,0,0,128.735
2019,94613,0,0,0
2019,94618,8.204,0.811,57.353
2019,94619,0,0,21.959
2019,94621,6.244,0.684,34.722
2019,94702,0,0,44.975
2019,94703,3.695,0.094,36.015
2019,94704,0,0,245.064
2019,94705,0,0,66.413
2019,94706,4.843,0.123,42.288
2019,94707,0,0,0
2019,94708,0,0,70.245
2019,94709,0,0,225.877
2019,94710,8.999,0.228,203.918
2019,94720,0,0,0
2019,95391,0,0,0
2018,94501,0,0,10.605
2018,94502,0,0,0
2018,94514,0,0,0
2018,94536,0,0,7.674
2018,94538,0,0,8.375
2018,94539,0,0,12.893
2018,94541,0,0,8.597
2018,94542,0,0,0
2018,94544,0.966,0.024,7.751
2018,94545,0,0,16.594
2018,94546,0,0,12.373
2018,94550,0,0,10.816
2018,94551,2.129,0.054,20.5
2018,94552,0,0,0
2018,94555,0,0,21.189
2018,94560,0,0,10.806
2018,94566,0,0,18.204
2018,94568,0,0,13.945
2018,94577,2.861,0.072,15.943
2018,94578,0,0,15.754
2018,94579,0,0,0
2018,94580,0,0,20.177
2018,94586,0,0,1486.916
2018,94587,3.389,0.401,13.015
2018,94588,0,0,19.136
2018,94601,5.269,1.084,21.595
2018,94602,0,0,17.456
2018,94603,15.772,4.977,45.191
2018,94605,6.115,1.19,20.998
2018,94606,5.154,0.623,23.274
2018,94607,15.442,4.132,48.632
2018,94608,6.798,0.771,44.016
2018,94609,8.072,0.975,52.507
2018,94610,3.02,0.076,37.137
2018,94611,2.438,0.062,26.026
2018,94612,4.019,0.102,131.832
2018,94613,0,0,0
2018,94618,0,0,47.911
2018,94619,8.382,1.001,34.953
2018,94621,9.083,1.799,39.322
2018,94702,0,0,45.079
2018,94703,0,0,31.545
2018,94704,0,0,243.797
2018,94705,0,0,66.513
2018,94706,0,0,36.835
2018,94707,0,0,59.352
2018,94708,0,0,0
2018,94709,0,0,0
2018,94710,0,0,0
2018,94720,0,0,0
2018,95391,0,0,314.178
2017,94501,0,0,10.334
2017,94502,0,0,0
2017,94514,0,0,0
2017,94536,0,0,7.478
2017,94538,0,0,9.016
2017,94539,0,0,0
2017,94541,1.904,0.048,12.654
2017,94542,0,0,59.593
2017,94544,0,0,7.018
2017,94545,2.505,0.063,19.768
2017,94546,0,0,12.268
2017,94550,2.533,0.064,14.811
2017,94551,0,0,19.134
2017,94552,0,0,41.706
2017,94555,0,0,22.013
2017,94560,0,0,11.248
2017,94566,0,0,17.797
2017,94568,0,0,14.937
2017,94577,0,0,10.335
2017,94578,0,0,17.565
2017,94579,0,0,0
2017,94580,0,0,20.962
2017,94586,0,0,0
2017,94587,0,0,7.339
2017,94588,0,0,18.138
2017,94601,0,0,16.71
2017,94602,3.191,0.081,22.142
2017,94603,0,0,25.315
2017,94605,3.709,0.421,17.107
2017,94606,0,0,15.451
2017,94607,8.943,1.078,40.651
2017,94608,3.006,0.076,38.468
2017,94609,5.45,0.539,48.856
2017,94610,0,0,33.029
2017,94611,0,0,22.599
2017,94612,0,0,126.807
2017,94613,0,0,0
2017,94618,0,0,0
2017,94619,0,0,0
2017,94621,10.749,2.21,44.757
2017,94702,5.779,0.146,51.457
2017,94703,0,0,30.741
2017,94704,0,0,238.343
2017,94705,0,0,0
2017,94706,0,0,39.455
2017,94707,0,0,0
2017,94708,0,0,68.612
2017,94709,0,0,226.389
2017,94710,9.762,0.247,220.291
2017,94720,0,0,0
2017,95391,0,0,0
2016,94501,0,0,9.792
2016,94502,0,0,41.965
2016,94514,0,0,0
2016,94536,0,0,7.334
2016,94538,0,0,9.361
2016,94539,0,0,0
2016,94541,0,0,10.187
2016,94542,0,0,70.676
2016,94544,1.338,0.034,9.187
2016,94545,0,0,16.044
2016,94546,0,0,12.536
2016,94550,2.4,0.061,14.056
2016,94551,0,0,19.524
2016,94552,0,0,0
2016,94555,0,0,22.388
2016,94560,0,0,10.93
2016,94566,0,0,16.18
2016,94568,0,0,18.605
2016,94577,0,0,11.783
2016,94578,0,0,20.44
2016,94579,0,0,27.73
2016,94580,0,0,20.515
2016,94586,0,0,0
2016,94587,0,0,7.187
2016,94588,0,0,0
2016,94601,0,0,16.477
2016,94602,0,0,19.967
2016,94603,3.186,0.081,28.466
2016,94605,3.961,0.453,17.228
2016,94606,5.521,0.581,23.678
2016,94607,0,0,26.853
2016,94608,5.999,0.69,40.809
2016,94609,5.333,0.572,59.534
2016,94610,0,0,31.315
2016,94611,0,0,21.285
2016,94612,12.946,2.652,127.778
2016,94613,0,0,0
2016,94618,0,0,49.184
2016,94619,0,0,24.286
2016,94621,5.725,0.676,39.369
2016,94702,0,0,0
2016,94703,0,0,29.851
2016,94704,0,0,0
2016,94705,0,0,67.954
2016,94706,0,0,0
2016,94707,0,0,62.955
2016,94708,0,0,62.823
2016,94709,0,0,0
2016,94710,11.909,0.302,238.936
2016,94720,0,0,0
2016,95391,0,0,401.356
2015,94501,0,0,8.974
2015,94502,0,0,48.123
2015,94514,0,0,0
2015,94536,0,0,6.999
2015,94538,2.455,0.062,13.677
2015,94539,0,0,13.846
2015,94541,1.477,0.037,11.761
2015,94542,14.162,0.359,94.631
2015,94544,1.289,0.033,9.505
2015,94545,0,0,17.438
2015,94546,0,0,13.703
2015,94550,0,0,10.131
2015,94551,0,0,20.12
2015,94552,0,0,43.031
2015,94555,0,0,25.626
2015,94560,0,0,11.538
2015,94566,0,0,14.373
2015,94568,0,0,19.122
2015,94577,2.672,0.068,15.333
2015,94578,4.759,0.576,25.711
2015,94579,0,0,24.089
2015,94580,0,0,17.751
2015,94586,0,0,0
2015,94587,0,0,6.993
2015,94588,0,0,21.684
2015,94601,6.199,1.259,23.58
2015,94602,0,0,17.849
2015,94603,9.059,1.855,35.018
2015,94605,0,0,11.607
2015,94606,5.932,0.711,24.33
2015,94607,16.794,5.069,47.351
2015,94608,0,0,31.711
2015,94609,11.107,2.057,61.065
2015,94610,0,0,33.53
2015,94611,2.46,0.062,24.483
2015,94612,0,0,120.671
2015,94613,0,0,0
2015,94618,0,0,0
2015,94619,0,0,23.049
2015,94621,10.059,1.946,40.216
2015,94702,3.864,0.098,45.426
2015,94703,0,0,31.659
2015,94704,0,0,239.931
2015,94705,0,0,67.908
2015,94706,0,0,0
2015,94707,0,0,63.008
2015,94708,0,0,71.454
2015,94709,0,0,0
2015,94710,0,0,193.531
2015,94720,0,0,0
2015,95391,0,0,151.069
2014,94501,0,0,8.683
2014,94502,0,0,0
2014,94514,0,0,0
2014,94536,0,0,7.105
2014,94538,0,0,9.175
2014,94539,0,0,13.217
2014,94541,2.686,0.325,14.048
2014,94542,7.18,0.182,73.927
2014,94544,0,0,8.136
2014,94545,0,0,18.17
2014,94546,0,0,12.735
2014,94550,0,0,9.815
2014,94551,0,0,0
2014,94552,0,0,0
2014,94555,0,0,25.394
2014,94560,2.8,0.071,16.511
2014,94566,0,0,14.674
2014,94568,0,0,23.789
2014,94577,2.419,0.061,15.468
2014,94578,0,0,20.227
2014,94579,0,0,29.19
2014,94580,0,0,17.832
2014,94586,0,0,0
2014,94587,0,0,7.008
2014,94588,0,0,0
2014,94601,1.687,0.043,15.44
2014,94602,0,0,16.994
2014,94603,6.526,0.763,36.199
2014,94605,6.512,1.296,21.876
2014,94606,2.23,0.056,17.879
2014,94607,5.726,0.692,31.28
2014,94608,3.177,0.08,35.22
2014,94609,0,0,55.513
2014,94610,0,0,0
2014,94611,0,0,23.838
2014,94612,7.237,0.183,138.113
2014,94613,0,0,0
2014,94618,0,0,62.693
2014,94619,0,0,25.779
2014,94621,11.142,1.095,46.574
2014,94702,0,0,43.84
2014,94703,0,0,36.552
2014,94704,10.222,0.259,137.479
2014,94705,0,0,72.633
2014,94706,3.475,0.088,44.377
2014,94707,0,0,76.052
2014,94708,0,0,0
2014,94709,0,0,186.619
2014,94710,0,0,255.552
2014,94720,0,0,0
2014,95391,0,0,0
2013,94501,0,0,8.638
2013,94502,0,0,0
2013,94514,0,0,0
2013,94536,0,0,7.122
2013,94538,0,0,10.075
2013,94539,0,0,12.494
2013,94541,1.51,0.038,13.56
2013,94542,0,0,0
2013,94544,0.887,0.022,10.279
2013,94545,0,0,17.075
2013,94546,0,0,12.973
2013,94550,0,0,11.618
2013,94551,0,0,25.903
2013,94552,0,0,39.567
2013,94555,0,0,23.525
2013,94560,0,0,11.644
2013,94566,1.569,0.04,16.481
2013,94568,0,0,24.147
2013,94577,0,0,11.981
2013,94578,0,0,18.675
2013,94579,0,0,26.174
2013,94580,0,0,17.015
