Year,Zip Code,Age-Adjusted Rate,95% LCL,95% UCL
2022,94501,7.258,2.343,20.499
2022,94502,3.572,0.09,41.798
2022,94514,0,0,0
2022,94536,6.663,1.975,18.027
2022,94538,5.286,1.413,15.608
2022,94539,2.026,0.051,13.672
2022,94541,15.81,7.457,30.154
2022,94542,20.41,2.472,78.441
2022,94544,12.626,5.893,24.49
2022,94545,11.321,2.332,35.404
2022,94546,9.255,2.473,26.626
2022,94550,4.134,0.493,17.55
2022,94551,7.768,2.107,24.535
2022,94552,14.087,0.357,80.631
2022,94555,1.859,0.047,20.535
2022,94560,11.554,3.708,28.31
2022,94566,1.536,0.039,19.159
2022,94568,6.322,1.176,21.84
2022,94577,15.285,6.107,33.668
2022,94578,14.531,5.689,32.542
2022,94579,0,0,37.922
2022,94580,5.769,0.688,26.691
2022,94586,0,0,0
2022,94587,11.274,4.94,23.276
2022,94588,0,0,16.507
2022,94601,11.712,4.213,26.868
2022,94602,6.42,0.777,31.311
2022,94603,31.344,14.922,61.303
2022,94605,17.683,6.908,38.916
2022,94606,19.226,7.484,45.756
2022,94607,25.964,9.336,67.854
2022,94608,21.142,8.162,71.431
2022,94609,24.274,7.903,69.947
2022,94610,7.798,0.922,45.969
2022,94611,4.643,0.557,28.804
2022,94612,101.637,37.305,235.322
2022,94613,0,0,0
2022,94618,12.858,1.553,64.628
2022,94619,9.986,2.015,38.243
2022,94621,35.221,16.682,69.439
2022,94702,12.076,1.455,52.987
2022,94703,26.597,8.798,72.338
2022,94704,8.68,0.22,98.633
2022,94705,38.375,11.933,109.865
2022,94706,3.451,0.087,35.375
2022,94707,0,0,0
2022,94708,0,0,0
2022,94709,0,0,0
2022,94710,28.314,2.688,287.511
2022,94720,0,0,0
2022,95391,0,0,107.775
2021,94501,2.942,0.351,14.774
2021,94502,0,0,0
2021,94514,36.586,0.926,619.353
2021,94536,8.802,3.495,20.383
2021,94538,9.502,3.938,21.002
2021,94539,2.465,0.062,14.873
2021,94541,18.078,9.206,32.739
2021,94542,0,0,0
2021,94544,13.165,6.465,24.902
2021,94545,0,0,17.498
2021,94546,6.323,1.682,21.164
2021,94550,4.084,0.489,17.529
2021,94551,6.801,1.853,23.207
2021,94552,7.229,0.183,64.745
2021,94555,0,0,18.614
2021,94560,6,1.226,19.733
2021,94566,0,0,17.71
2021,94568,4.475,0.446,19.777
2021,94577,3.59,0.434,16.795
2021,94578,3.048,0.077,17.591
2021,94579,16.132,3.274,59.378
2021,94580,14.476,4.39,38.959
2021,94586,0,0,0
2021,94587,7.238,2.327,18.104
2021,94588,1.965,0.05,19.103
2021,94601,18.063,8.119,35.922
2021,94602,13.994,4.406,41.007
2021,94603,13.538,4.364,37.469
2021,94605,16.778,6.535,37.307
2021,94606,3.016,0.364,22.904
2021,94607,31.304,13.985,72.311
2021,94608,15.84,4.58,65.808
