Year,Zip Code,Age-Adjusted Rate,95% LCL,95% UCL
2022,94501,1.583,0.04,13.11
2022,94502,0,0,37.855
2022,94514,0,0,0
2022,94536,0,0,8.369
2022,94538,2.852,0.345,12.323
2022,94539,0,0,10.446
2022,94541,1.896,0.048,11.049
2022,94542,0,0,44.589
2022,94544,1.809,0.046,10.08
2022,94545,0,0,17.597
2022,94546,1.617,0.041,15.136
2022,94550,0,0,11.253
2022,94551,0,0,14.177
2022,94552,0,0,54.776
2022,94555,0,0,18.416
2022,94560,2.28,0.058,14.565
2022,94566,0,0,17.522
2022,94568,0,0,12.304
2022,94577,2.552,0.065,16.234
2022,94578,3.87,0.439,17.584
2022,94579,0,0,37.922
2022,94580,0,0,18.504
2022,94586,0,0,0
2022,94587,0,0,7.504
2022,94588,0,0,16.507
2022,94601,2.294,0.058,13.528
2022,94602,3.24,0.082,27.018
2022,94603,12.905,3.49,37.158
2022,94605,4.727,0.545,20.437
2022,94606,8.764,1.712,32.204
2022,94607,7.59,0.806,43.473
2022,94608,0,0,49.268
2022,94609,8.668,0.941,49.558
2022,94610,0,0,36.614
2022,94611,0,0,23.432
2022,94612,0,0,88.163
2022,94613,0,0,0
2022,94618,3.89,0.098,51.575
2022,94619,3.9,0.099,30.514
2022,94621,5.87,0.603,29.657
2022,94702,0,0,35.172
2022,94703,2.842,0.072,39.6
2022,94704,0.635,0.016,89.251
2022,94705,0,0,58.695
2022,94706,0,0,31.262
2022,94707,0,0,0
2022,94708,0,0,0
2022,94709,0,0,0
2022,94710,11.268,0.285,269.852
2022,94720,0,0,0
2022,95391,0,0,107.775
2021,94501,1.614,0.041,13.089
2021,94502,0,0,0
2021,94514,0,0,585.777
2021,94536,0,0,8.459
2021,94538,0,0,7.998
2021,94539,0,0,10.558
2021,94541,2.396,0.29,10.968
2021,94542,0,0,0
2021,94544,0,0,6.802
2021,94545,0,0,17.498
2021,94546,0,0,13.023
2021,94550,0,0,11.374
2021,94551,0,0,14.687
2021,94552,0,0,55.363
2021,94555,0,0,18.614
2021,94560,0,0,10.706
2021,94566,0,0,17.71
2021,94568,1.448,0.037,14.499
2021,94577,0,0,11.77
2021,94578,0,0,12.04
2021,94579,0,0,37.295
2021,94580,1.792,0.045,20.217
2021,94586,0,0,0
2021,94587,2.154,0.22,10.478
2021,94588,0,0,16.684
2021,94601,0,0,10.18
2021,94602,2.767,0.07,26.303
2021,94603,5.275,0.608,26.439
2021,94605,6.534,1.204,22.939
2021,94606,0,0,19.799
2021,94607,9.64,1.699,45.403
2021,94608,0,0,48.842
2021,94609,6.158,0.156,47.338
2021,94610,0,0,36.298
2021,94611,0,0,23.684
2021,94612,0,0,87.401
2021,94613,0,0,0
2021,94618,0,0,0
2021,94619,0,0,25.229
2021,94621,2.026,0.051,24.441
2021,94702,0,0,34.59
2021,94703,3.033,0.077,41.156
2021,94704,0,0,87.422
2021,94705,0,0,57.724
2021,94706,4.837,0.122,38.412
2021,94707,0,0,90.279
2021,94708,0,0,67.124
2021,94709,0,0,133.034
2021,94710,0,0,270.243
2021,94720,0,0,0
2021,95391,0,0,116.348
2020,94501,1.637,0.041,13.048
2020,94502,0,0,0
2020,94514,0,0,0
2020,94536,1.742,0.044,11.773
2020,94538,0,0,8.527
2020,94539,0,0,12.774
2020,94541,1.013,0.026,9.405
2020,94542,0,0,41.804
2020,94544,1.242,0.031,8.787
