Year,Zip Code,Age-Adjusted Rate,95% LCL,95% UCL
2022,94501,1.284,0.033,12.522
2022,94502,0,0,37.855
2022,94514,0,0,0
2022,94536,0,0,8.369
2022,94538,0,0,8.068
2022,94539,0,0,10.446
2022,94541,1.004,0.025,8.932
2022,94542,0,0,44.589
2022,94544,1.025,0.026,8.12
2022,94545,0,0,17.597
2022,94546,0,0,13.097
2022,94550,0,0,11.253
2022,94551,0,0,14.177
2022,94552,0,0,54.776
2022,94555,0,0,18.416
2022,94560,2.28,0.058,14.565
2022,94566,0,0,17.522
2022,94568,1.997,0.051,15.203
2022,94577,0,0,11.968
2022,94578,2.95,0.356,15.677
2022,94579,0,0,37.922
2022,94580,0,0,18.504
2022,94586,0,0,0
2022,94587,0.743,0.019,8.343
2022,94588,0,0,16.507
2022,94601,1.526,0.039,11.643
2022,94602,0,0,22.606
2022,94603,3.671,0.093,24.372
2022,94605,7.847,1.904,24.514
2022,94606,4.376,0.44,25.517
2022,94607,4.894,0.124,40.582
2022,94608,7.171,0.842,56.558
2022,94609,11.8,1.418,55.227
2022,94610,0,0,36.614
2022,94611,0,0,23.432
2022,94612,20.72,0.525,124.54
2022,94613,0,0,0
2022,94618,10.047,1.123,59.746
2022,94619,3.9,0.099,30.514
2022,94621,12.475,3.027,39.249
2022,94702,0,0,35.172
2022,94703,2.842,0.072,39.6
2022,94704,0.635,0.016,89.251
2022,94705,0,0,58.695
2022,94706,0,0,31.262
2022,94707,0,0,0
2022,94708,0,0,0
2022,94709,0,0,0
2022,94710,19.842,2.334,276.615
2022,94720,0,0,0
2022,95391,0,0,107.775
2021,94501,3.376,0.408,15.618
2021,94502,0,0,0
2021,94514,0,0,585.777
2021,94536,0.947,0.024,9.596
2021,94538,0.978,0.025,9.226
2021,94539,0,0,10.558
2021,94541,2.859,0.332,11.999
2021,94542,0,0,0
2021,94544,1.193,0.03,8.605
2021,94545,0,0,17.498
2021,94546,1.149,0.029,14.251
2021,94550,1.515,0.038,13.361
2021,94551,3.733,0.411,19.63
2021,94552,0,0,55.363
2021,94555,2.245,0.057,21.411
2021,94560,0,0,10.706
2021,94566,5.176,0.564,25.033
2021,94568,0,0,12.747
2021,94577,1.745,0.044,14.189
2021,94578,2.573,0.065,16.345
2021,94579,3.349,0.085,40.905
2021,94580,1.922,0.049,20.439
2021,94586,0,0,0
2021,94587,2.742,0.328,11.574
2021,94588,0,0,16.684
2021,94601,7.624,2.017,21.58
2021,94602,0,0,22.848
2021,94603,8.109,1.634,30.311
2021,94605,5.221,0.607,21.453
2021,94606,4.378,0.47,25.277
2021,94607,12.415,2.427,49.861
2021,94608,9.402,1.118,59.603
2021,94609,9.845,1.171,51.263
2021,94610,0,0,36.298
2021,94611,0,0,23.684
2021,94612,30.581,3.535,133.434
2021,94613,0,0,0
2021,94618,0,0,0
2021,94619,5.661,0.143,34.939
2021,94621,7.313,1.41,31.373
2021,94702,0,0,34.59
2021,94703,0,0,38.062
2021,94704,0,0,87.422
