Year,Zip Code,Age-Adjusted Rate,95% LCL,95% UCL
2022,94501,8.6,3.055,22.347
2022,94502,3.572,0.09,41.798
2022,94514,0,0,0
2022,94536,6.043,1.521,17.49
2022,94538,7.087,2.257,18.299
2022,94539,2.026,0.051,13.672
2022,94541,17.757,9.03,32.278
2022,94542,10.205,0.258,62.27
2022,94544,9.116,3.773,19.568
2022,94545,15.182,4.133,40.99
2022,94546,3.683,0.372,18.323
2022,94550,1.862,0.047,13.985
2022,94551,2.043,0.052,16.966
2022,94552,14.087,0.357,80.631
2022,94555,5.381,0.561,26.119
2022,94560,6.953,1.407,21.792
2022,94566,2.777,0.33,20.44
2022,94568,3.446,0.401,17
2022,94577,7.19,1.879,22.024
2022,94578,13.827,5.043,32.029
2022,94579,6.537,0.792,45.017
2022,94580,5.2,0.63,25.521
2022,94586,0,0,0
2022,94587,11.731,5.135,24.061
2022,94588,0,0,16.507
2022,94601,12.178,4.431,27.622
2022,94602,6.42,0.777,31.311
2022,94603,24.637,10.586,52.417
2022,94605,18.871,7.95,39.933
2022,94606,6.287,1.209,27.69
2022,94607,2.696,0.068,36.641
2022,94608,16.675,4.828,67.405
2022,94609,16.894,3.973,60.638
2022,94610,4.383,0.111,42.055
2022,94611,2.237,0.057,25.916
2022,94612,21.826,5.701,110.076
2022,94613,0,0,0
2022,94618,10.82,1.199,61.166
2022,94619,8.271,1.653,35.194
2022,94621,31.686,14.43,64.678
2022,94702,12.746,1.544,54.388
2022,94703,9.131,0.927,48.97
2022,94704,14.146,1.58,104.013
2022,94705,16.512,1.905,81.297
2022,94706,0,0,31.262
2022,94707,0,0,0
2022,94708,0,0,0
2022,94709,0,0,0
2022,94710,28.314,2.688,287.511
2022,94720,0,0,0
2022,95391,0,0,107.775
2021,94501,1.614,0.041,13.089
2021,94502,0,0,0
2021,94514,36.586,0.926,619.353
2021,94536,6.476,2.069,17.423
2021,94538,1.476,0.037,10.29
2021,94539,1.64,0.042,12.886
2021,94541,7.794,2.788,18.673
2021,94542,0,0,0
2021,94544,16.066,8.381,28.806
2021,94545,1.445,0.037,18.996
2021,94546,4.336,0.492,19.445
2021,94550,4.712,0.952,17.728
2021,94551,1.7,0.043,16.763
2021,94552,0,0,55.363
2021,94555,4.547,0.393,24.909
2021,94560,5.752,1.161,19.265
2021,94566,2.214,0.056,20.52
2021,94568,2.897,0.351,16.302
2021,94577,5.633,1.149,19.77
2021,94578,1.922,0.049,14.806
2021,94579,7.807,0.916,46.606
2021,94580,11.15,2.74,34.3
2021,94586,0,0,0
2021,94587,6.462,2.003,16.82
2021,94588,1.965,0.05,19.103
2021,94601,12.817,5.072,28.41
2021,94602,15.789,5.58,43.027
2021,94603,12.315,3.957,35.356
2021,94605,6,1.155,21.72
2021,94606,5.593,0.677,27.364
2021,94607,16.55,5.027,53.928
2021,94608,14.836,4.184,64.497
2021,94609,26.205,8.352,73.469
2021,94610,7.762,1.245,44.871
2021,94611,5.117,0.62,29.823
2021,94612,61.518,20.207,169.287
2021,94613,0,0,0
2021,94618,0,0,0
2021,94619,0,0,25.229
2021,94621,12.879,3.291,40.193
2021,94702,0,0,34.59
2021,94703,11.703,1.413,54.509
2021,94704,7.53,0.191,95.382
2021,94705,0,0,57.724
2021,94706,0,0,31.598
2021,94707,0,0,90.279
2021,94708,0,0,67.124
2021,94709,0,0,133.034
2021,94710,0,0,270.243
2021,94720,0,0,0
2021,95391,0,0,116.348
2020,94501,1.833,0.046,13.48
2020,94502,0,0,0
2020,94514,0,0,0
2020,94536,3.58,0.658,13.912
2020,94538,3.2,0.322,13.686
2020,94539,1.141,0.029,14.001
2020,94541,4.884,1.245,15.026
2020,94542,0,0,41.804
2020,94544,3.685,0.721,12.42
2020,94545,6.133,0.739,26.995
2020,94546,3.012,0.355,18.965
2020,94550,4.792,0.95,19.605
2020,94551,1.751,0.044,18.397
2020,94552,0,0,58.465
2020,94555,1.754,0.044,19.468
2020,94560,1.449,0.037,12.412
2020,94566,0,0,18.142
2020,94568,2.363,0.286,15.868
2020,94577,8.236,2.097,23.341
2020,94578,3.989,0.426,19.095
2020,94579,5.229,0.132,37.142
2020,94580,5.072,0.614,24.659
2020,94586,0,0,0
2020,94587,1.263,0.032,9.217
2020,94588,0,0,19.877
2020,94601,6.474,1.335,22.861
2020,94602,2.642,0.067,29.654
2020,94603,6.45,0.781,28.742
2020,94605,7.792,2.063,23.517
2020,94606,3.756,0.095,25.326
2020,94607,8.654,1.022,40.765
2020,94608,13.723,3.616,53.746
2020,94609,5.119,0.13,50.327
2020,94610,3.969,0.1,42.561
2020,94611,5.535,0.669,33.04
2020,94612,10.668,0.998,122.829
2020,94613,0,0,0
2020,94618,0,0,0
2020,94619,3.766,0.095,33.326
2020,94621,11.713,2.874,39.446
2020,94702,0,0,42.362
2020,94703,13.953,2.644,56.503
2020,94704,47.761,5.622,288.878
2020,94705,5.754,0.146,64.972
2020,94706,0,0,31.634
2020,94707,0,0,69.428
2020,94708,0,0,0
2020,94709,0,0,186.857
2020,94710,0,0,183.13
2020,94720,0,0,0
2020,95391,8.689,0.22,138.769
2019,94501,2.485,0.294,13.693
2019,94502,0,0,47.95
2019,94514,0,0,0
2019,94536,2.079,0.251,10.42
2019,94538,1.45,0.037,10.536
2019,94539,1.477,0.037,14.433
2019,94541,1.456,0.037,10.385
2019,94542,9.183,1.111,67.502
2019,94544,6.429,2.078,15.955
2019,94545,2.348,0.059,19.848
2019,94546,0,0,12.406
2019,94550,0,0,10.845
2019,94551,1.457,0.037,18.928
2019,94552,0,0,44.117
2019,94555,1.974,0.05,22.587
2019,94560,4.595,0.55,18.274
2019,94566,1.45,0.037,19.774
2019,94568,0,0,13.59
2019,94577,0,0,10.531
2019,94578,7.019,1.33,25.124
2019,94579,0,0,27.033
2019,94580,0,0,19.408
2019,94586,0,0,0
2019,94587,2.792,0.338,11.623
2019,94588,4.477,0.113,27.02
2019,94601,13.133,5.21,31.587
2019,94602,0,0,17.415
2019,94603,4.947,0.597,29.318
2019,94605,2.353,0.06,15.701
2019,94606,5.055,0.61,23.044
2019,94607,13.114,2.681,46.285
2019,94608,6.849,0.829,43.896
2019,94609,1.636,0.041,44.605
2019,94610,12.593,1.237,54.189
2019,94611,0,0,23.137
2019,94612,0,0,128.735
2019,94613,0,0,0
2019,94618,5.578,0.141,54.858
2019,94619,0,0,21.959
2019,94621,11.465,2.328,42.39
2019,94702,4.379,0.111,49.883
2019,94703,3.695,0.094,36.015
2019,94704,0,0,245.064
2019,94705,0,0,66.413
2019,94706,0,0,35.897
2019,94707,0,0,0
2019,94708,12.756,1.107,85.607
2019,94709,15.463,0.391,240.625
2019,94710,0,0,196.583
2019,94720,0,0,0
2019,95391,0,0,0
2018,94501,1.1,0.028,11.877
2018,94502,0,0,0
2018,94514,0,0,0
2018,94536,4.219,0.835,14.05
2018,94538,2.675,0.317,12.219
2018,94539,1.36,0.034,14.479
2018,94541,4.909,0.965,16.136
2018,94542,0,0,0
2018,94544,5.375,1.681,14.126
2018,94545,2.882,0.073,20.93
2018,94546,1.657,0.042,14.551
2018,94550,2.1,0.053,14.162
2018,94551,0,0,17.863
2018,94552,0,0,0
2018,94555,0,0,21.189
2018,94560,0,0,10.806
2018,94566,5.001,0.438,25.491
2018,94568,3.44,0.417,18.324
2018,94577,1.704,0.043,13.024
2018,94578,12.285,3.864,32.978
2018,94579,0,0,0
2018,94580,0,0,20.177
2018,94586,0,0,1486.916
2018,94587,0,0,7.338
2018,94588,0,0,19.136
2018,94601,10.71,3.882,28.649
2018,94602,0,0,17.456
2018,94603,10.736,2.924,37.574
2018,94605,2.176,0.055,15.293
2018,94606,7.476,1.538,26.38
2018,94607,5.944,0.692,34.995
2018,94608,0,0,36.231
2018,94609,0,0,43.448
2018,94610,1.705,0.043,35.331
2018,94611,0,0,23.19
2018,94612,5.022,0.127,132.806
2018,94613,0,0,0
2018,94618,0,0,47.911
2018,94619,0,0,21.992
2018,94621,3.707,0.094,33.007
2018,94702,0,0,45.079
2018,94703,0,0,31.545
2018,94704,0,0,243.797
2018,94705,0,0,66.513
2018,94706,0,0,36.835
2018,94707,0,0,59.352
2018,94708,0,0,0
2018,94709,0,0,0
2018,94710,0,0,0
2018,94720,0,0,0
2018,95391,3.602,0.091,316.319
2017,94501,0,0,10.334
2017,94502,0,0,0
